Iteracoes,PI_Calculado,Erro_Absoluto,Tempo
1000,3.1405926538398,0.0009999997500,0.000011
10000,3.1414926535900,0.0000999999998,0.000089
100000,3.1415826535897,0.0000100000001,0.000892
1000000,3.1415916535898,0.0000010000000,0.008805
10000000,3.1415925535898,0.0000001000000,0.086405
